#Iteration center.0 center.1 sigma.0 sigma.1 height
268000 -0.80942137 2.3024868 0.3 0.3 0.3
269000 -2.1725756 2.7805382 0.3 0.3 0.3
270000 -1.7821087 2.77401 0.3 0.3 0.3
271000 -2.315326 2.937484 0.3 0.3 0.3
272000 -2.1189804 2.6511001 0.3 0.3 0.3
273000 -2.5476943 2.1280764 0.3 0.3 0.3
274000 -2.7566135 1.7593456 0.3 0.3 0.3
275000 -1.8697155 1.9756683 0.3 0.3 0.3
276000 -1.9932917 2.0560416 0.3 0.3 0.3
277000 -2.7580072 1.5705563 0.3 0.3 0.3
278000 -2.0273279 2.8923753 0.3 0.3 0.3
279000 -2.1306226 2.5150892 0.3 0.3 0.3
280000 -1.6261908 2.140634 0.3 0.3 0.3
281000 -1.0349477 2.0613105 0.3 0.3 0.3
282000 -0.7346084 2.5556045 0.3 0.3 0.3
283000 -1.2123364 3.1138483 0.3 0.3 0.3
284000 -0.69821135 2.5442033 0.3 0.3 0.3
285000 -2.0723159 2.7273184 0.3 0.3 0.3
286000 -2.745822 2.8782018 0.3 0.3 0.3
287000 -2.7430289 1.0145277 0.3 0.3 0.3
288000 -2.4774979 0.69764324 0.3 0.3 0.3
289000 -2.4572946 0.83072653 0.3 0.3 0.3
290000 -1.9787767 1.109547 0.3 0.3 0.3
291000 -2.0514662 1.2025368 0.3 0.3 0.3
292000 -2.5028969 1.1905505 0.3 0.3 0.3
293000 -2.1739211 0.53767031 0.3 0.3 0.3
294000 -2.6810667 0.66849966 0.3 0.3 0.3
295000 -2.2964555 1.1330462 0.3 0.3 0.3
296000 -1.779933 1.4288013 0.3 0.3 0.3
297000 -2.451711 2.8049885 0.3 0.3 0.3
298000 -1.3025935 2.7841653 0.3 0.3 0.3
299000 -2.6358582 3.0082757 0.3 0.3 0.3
300000 -2.319976 2.9143442 0.3 0.3 0.3
301000 -1.082738 2.1782606 0.3 0.3 0.3
302000 -2.4709365 2.2570748 0.3 0.3 0.3
303000 -1.924794 1.9796076 0.3 0.3 0.3
304000 -1.760928 1.7516098 0.3 0.3 0.3
305000 -0.55289305 2.6147752 0.3 0.3 0.3
306000 -2.3153443 3.0139213 0.3 0.3 0.3
307000 -1.0698625 2.642781 0.3 0.3 0.3
308000 -1.7652754 1.774523 0.3 0.3 0.3
309000 -1.9583287 1.4636849 0.3 0.3 0.3
310000 -2.6683731 0.56781005 0.3 0.3 0.3
311000 -1.9180976 3.1181486 0.3 0.3 0.3
312000 -2.4385551 2.5035064 0.3 0.3 0.3
313000 -2.3855524 0.94177464 0.3 0.3 0.3
314000 -2.4992686 2.2091344 0.3 0.3 0.3
315000 -2.232593 1.3025264 0.3 0.3 0.3
316000 -1.9452243 0.47594733 0.3 0.3 0.3
317000 -1.1271712 -0.50577179 0.3 0.3 0.3
318000 -1.0760744 -0.63843853 0.3 0.3 0.3
319000 -1.2566635 -0.75468445 0.3 0.3 0.3
